 Epoch : 2 , Step : 7500 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 7600 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 7700 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 7800 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 7900 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 8000 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 8100 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 8200 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 100 , Loss : 129534.947705 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 200 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 300 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 400 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 500 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 600 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 700 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 800 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 900 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 1000 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 1100 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 1200 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 1300 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 1400 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 1500 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 1600 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 1700 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 1800 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 1900 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 2000 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 2100 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 2200 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 2300 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 2400 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 2500 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 2600 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 0 , Step : 2700 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 2800 , Loss : nan , Error: nan , lr :0.001000
 Epoch : 1 , Step : 2900 , Loss : nan , Error: nan , lr :0.001000
 Epoch : 1 , Step : 3000 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 3100 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 3200 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 3300 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 3400 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 3500 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 3600 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 3700 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 3800 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 3900 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 4000 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 4100 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 4200 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 4300 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 4400 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 4500 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 4600 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 4700 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 4800 , Loss : 0.000000 , Error: nan , lr :0.001000
