 Epoch : 0 , Step : 100 , Loss : 4325.809310 , Error: 0.734500 , lr :0.001000
 Epoch : 0 , Step : 200 , Loss : 3060.308985 , Error: 0.405000 , lr :0.001000
 Epoch : 0 , Step : 300 , Loss : 2134.221979 , Error: 0.295000 , lr :0.001000
 Epoch : 0 , Step : 400 , Loss : 1763.971743 , Error: 0.264500 , lr :0.001000
 Epoch : 0 , Step : 500 , Loss : 1647.016813 , Error: 0.271000 , lr :0.001000
 Epoch : 0 , Step : 600 , Loss : 1529.173625 , Error: 0.245500 , lr :0.001000
 Epoch : 0 , Step : 700 , Loss : 1442.674168 , Error: 0.231000 , lr :0.001000
 Epoch : 0 , Step : 800 , Loss : 1409.751934 , Error: 0.228000 , lr :0.001000
 Epoch : 0 , Step : 900 , Loss : 1415.204875 , Error: 0.233500 , lr :0.001000
 Epoch : 0 , Step : 1000 , Loss : 1348.199531 , Error: 0.211500 , lr :0.001000
 Epoch : 0 , Step : 1100 , Loss : 1326.576842 , Error: 0.210500 , lr :0.001000
 Epoch : 0 , Step : 1200 , Loss : 1233.104201 , Error: 0.202000 , lr :0.001000
 Epoch : 0 , Step : 1300 , Loss : 1282.308306 , Error: 0.206000 , lr :0.001000
 Epoch : 0 , Step : 1400 , Loss : 1163.760287 , Error: 0.186000 , lr :0.001000
 Epoch : 0 , Step : 1500 , Loss : 1303.954465 , Error: 0.216500 , lr :0.001000
 Epoch : 0 , Step : 1600 , Loss : 1194.867657 , Error: 0.190000 , lr :0.001000
 Epoch : 0 , Step : 1700 , Loss : 1139.446590 , Error: 0.189500 , lr :0.001000
 Epoch : 0 , Step : 1800 , Loss : 1225.167123 , Error: 0.197500 , lr :0.001000
 Epoch : 0 , Step : 1900 , Loss : 1119.483213 , Error: 0.190500 , lr :0.001000
 Epoch : 0 , Step : 2000 , Loss : 1223.250559 , Error: 0.208000 , lr :0.001000
 Epoch : 0 , Step : 2100 , Loss : 1086.008586 , Error: 0.184500 , lr :0.001000
 Epoch : 0 , Step : 2200 , Loss : 1136.664434 , Error: 0.177500 , lr :0.001000
 Epoch : 0 , Step : 2300 , Loss : 1129.573457 , Error: 0.183000 , lr :0.001000
 Epoch : 0 , Step : 2400 , Loss : 1096.436500 , Error: 0.182500 , lr :0.001000
 Epoch : 0 , Step : 2500 , Loss : 1113.528899 , Error: 0.175000 , lr :0.001000
 Epoch : 0 , Step : 2600 , Loss : 1093.106717 , Error: 0.178500 , lr :0.001000
 Epoch : 0 , Step : 2700 , Loss : 1089.743621 , Error: 0.176000 , lr :0.001000
 Epoch : 1 , Step : 2800 , Loss : 1021.835102 , Error: 0.164000 , lr :0.001000
